rule_id,rule_status,app,zap_alert_name,zap_cwe_id,url_regex,evidence_regex,negative_evidence_regex,ground_truth_label,provider_key,challenge_ids,rationale,plugin_id,request_method,param_regex,authentication_context,target_version,target_image_digest,environment_lock_sha256,validation_basis,source_ref,expected_vulnerability_family,compatible_llm_cwe_ids
juice_timestamp_without_cve,validated,juice_shop,Timestamp Disclosure - Unix,CWE-497,,,,NOT_VULNERABLE,,,Timestamp disclosure is informational without version-specific CVE evidence.,,,,,,,,,,,
juice_cors_wildcard_without_exposure,validated,juice_shop,Cross-Domain Misconfiguration,CWE-264,,access-control-allow-origin:\s*\*,"access-control-allow-credentials:\s*true|sensitive.{0,80}(data|token|credential)",NOT_VULNERABLE,,,A wildcard origin alone does not demonstrate credential exposure or sensitive cross-origin data leakage.,,,,,,,,,,,
juice_product_search_sqli,validated,juice_shop,SQL Injection,CWE-89,^/rest/products/search$,apple',,VULNERABLE,dbSchemaChallenge,dbSchemaChallenge,"Official pinned Juice Shop source registers GET /rest/products/search and interpolates q into a SQLite query for dbSchemaChallenge; ZAP plugin 40018 supplied the quote attack, and paired UNION replay independently confirmed injection. HTTP 500 alone is not treated as validation.",40018,GET,^q$,any,20.1.1,sha256:e68144772ebaaca0ec117b38d44903af92416793230288ef7c5437fc4f26850a,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,paired_replay,juice-shop/routes/search.ts;juice-shop/server.ts;juice-shop/data/static/challenges.yml,sql_injection,CWE-89
vulnerable_app_blind_sqli_level_1,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/BlindSQLInjectionVulnerability/LEVEL_1$,1 AND 1=1 --,,VULNERABLE,VULNERABLE_APP-BLIND_SQL_INJECTION-blindsqlinjectionvulnerability_level_1,VULNERABLE_APP-BLIND_SQL_INJECTION-blindsqlinjectionvulnerability_level_1,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/BlindSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_blind_sqli_level_2,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/BlindSQLInjectionVulnerability/LEVEL_2$,1' AND '1'='1' --,,VULNERABLE,VULNERABLE_APP-BLIND_SQL_INJECTION-blindsqlinjectionvulnerability_level_2,VULNERABLE_APP-BLIND_SQL_INJECTION-blindsqlinjectionvulnerability_level_2,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/BlindSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_error_sqli_level_1,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/ErrorBasedSQLInjectionVulnerability/LEVEL_1$,3-2,,VULNERABLE,VULNERABLE_APP-ERROR_BASED_SQL_INJECTION-errorbasedsqlinjectionvulnerability_level_1,VULNERABLE_APP-ERROR_BASED_SQL_INJECTION-errorbasedsqlinjectionvulnerability_level_1,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/ErrorBasedSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_error_sqli_level_2,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/ErrorBasedSQLInjectionVulnerability/LEVEL_2$,1' AND '1'='1' --,,VULNERABLE,VULNERABLE_APP-ERROR_BASED_SQL_INJECTION-errorbasedsqlinjectionvulnerability_level_2,VULNERABLE_APP-ERROR_BASED_SQL_INJECTION-errorbasedsqlinjectionvulnerability_level_2,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/ErrorBasedSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_union_sqli_level_1,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/UnionBasedSQLInjectionVulnerability/LEVEL_1$,3-2,,VULNERABLE,VULNERABLE_APP-UNION_BASED_SQL_INJECTION-unionbasedsqlinjectionvulnerability_level_1,VULNERABLE_APP-UNION_BASED_SQL_INJECTION-unionbasedsqlinjectionvulnerability_level_1,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/UnionBasedSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_union_sqli_level_2,validated,vulnerable_app,SQL Injection,CWE-89,^/VulnerableApp/UnionBasedSQLInjectionVulnerability/LEVEL_2$,1' AND '1'='1' --,,VULNERABLE,VULNERABLE_APP-UNION_BASED_SQL_INJECTION-unionbasedsqlinjectionvulnerability_level_2,VULNERABLE_APP-UNION_BASED_SQL_INJECTION-unionbasedsqlinjectionvulnerability_level_2,Official commit-pinned source and the Phase 3 pinned live payload/control replay agree.,40018,GET,^id$,unauthenticated,26.04,sha256:75695010f1b622493716f7843acd7d6d1f68f90d866491c0ebdb028b39412d5f,ebec5083490f0fd41111fd67693e585b82591ba17852020199c781912e23668a,official_source_and_paired_replay,https://github.com/SasanLabs/VulnerableApp/blob/5b2810f88c48ee0823213e3e2e08161abf2866d6/src/main/java/org/sasanlabs/service/vulnerability/sqlInjection/UnionBasedSQLInjectionVulnerability.java;results/provenance_verifications/vulnerableapp_provenance_20260816T005336Z/verification.json;sha256:6c31ec29aad0a937a6f49bb40912b93a3cccf2a4c6b0d888a7c4540686ba8398,sql_injection,CWE-89
vulnerable_app_auth_request_observation,validated,vulnerable_app,Authentication Request Identified,CWE--1,^/VulnerableApp/,identified as an authentication request,,NOT_VULNERABLE,,,This ZAP informational rule identifies authentication request fields and may configure context authentication; it does not assert or demonstrate a security weakness.,,,,,,,,,,,
